Year	Rank	Country name	Ladder score	upperwhisker	lowerwhisker	Explained by: Log GDP per capita	Explained by: Social support	Explained by: Healthy life expectancy	Explained by: Freedom to make life choices	Explained by: Generosity	Explained by: Perceptions of corruption	Dystopia + residual
2024	51	Latvia	6,207	6,292	6,123	1,619	1,711	0,503	0,789	0,108	0,082	1,396
2024	52	Oman	6,197	6,420	5,973	1,603	1,411	0,500	0,930	0,142		
2024	53	Uzbekistan	6,193	6,297	6,088	1,179	1,615	0,654	0,977	0,195	0,208	1,364
2024	54	Paraguay	6,172	6,279	6,064	1,329	1,615	0,291	0,921	0,097	0,063	1,857
2024	55	Japan	6,147	6,230	6,063	1,678	1,550	0,921	0,746	0,014	0,200	1,038
2024	56	Bosnia and Herzegovina	6,136	6,234	6,039	1,405	1,545	0,616	0,749	0,178	0,009	1,635
2024	57	Philippines	6,107	6,220	5,994	1,177	1,385	0,315	0,966	0,075	0,110	2,079
2024	58	Republic of Korea	6,038	6,131	5,945	1,709	1,357	0,903	0,678	0,100	0,139	1,152
2024	59	Bahrain	6,030	6,170	5,891	1,752	1,391	0,609	0,907	0,148	0,167	1,057
2024	60	Portugal	6,013	6,118	5,907	1,646	1,560	0,822	0,879	0,040	0,034	1,032
2024	61	Colombia	6,004	6,112	5,897	1,380	1,513	0,587	0,777	0,039	0,051	1,658
2024	62	Ecuador	5,965	6,083	5,848	1,299	1,320	0,702	0,712	0,058	0,066	1,808
2024	63	Honduras	5,964	6,108	5,821	1,036	1,187	0,436	0,862	0,134	0,079	2,229
2024	64	Malaysia	5,955	6,055	5,854	1,571	1,315	0,446	0,991	0,181	0,110	1,341
2024	65	Peru	5,947	6,049	5,844	1,323	1,364	0,551	0,710	0,050	0,021	1,929
2024	66	Russian Federation	5,945	6,026	5,865	1,630	1,549	0,470	0,702	0,095	0,125	1,373
2024	67	Cyprus	5,942	6,058	5,827	1,720	1,348	0,840	0,612	0,108	0,041	1,273
2024	68	China	5,921	6,023	5,819	1,445	1,307	0,789	0,764	0,079	0,154	1,382
2024	69	Hungary	5,915	6,020	5,809	1,638	1,742	0,587	0,681	0,099	0,057	1,111
2024	70	Trinidad and Tobago	5,905	6,159	5,651	1,549	1,532	0,419	0,760	0,111	0,001	1,533
2024	71	Montenegro	5,877	5,965	5,789	1,507	1,551	0,618	0,768	0,075	0,138	1,220
2024	72	Croatia	5,870	5,963	5,777	1,644	1,673	0,669	0,478	0,022	0,065	1,319
2024	73	Jamaica	5,870	6,178	5,563	1,182	1,545	0,504	0,869	0,075	0,019	1,676
2024	74	Bolivia	5,868	5,977	5,758	1,173	1,356	0,346	0,817	0,067	0,052	2,057
2024	75	Kyrgyzstan	5,858	5,938	5,778	1,032	1,715	0,647	0,981	0,169	0,053	1,261
2024	76	Dominican Republic	5,846	5,988	5,705	1,457	1,500	0,615	0,866	0,063	0,186	1,160
2024	77	Mongolia	5,833	5,919	5,747	1,336	1,731	0,423	0,629	0,180	0,053	1,481
2024	78	Mauritius	5,832	5,948	5,715	1,499	1,521	0,617	0,761	0,095	0,130	1,209
2024	79	Libya	5,820	5,913	5,727	1,247	1,309	0,549	0,724	0,111	0,214	1,666
2024	80	Republic of Moldova	5,819	5,933	5,706	1,332	1,430	0,414	0,830	0,054	0,037	1,722
2024	81	Greece	5,776	5,875	5,677	1,608	1,438	0,725	0,396	0,003	0,063	1,543
2024	82	Venezuela	5,683	5,796	5,570	0,000	1,493	0,515	0,702	0,154	0,117	2,701
2024	83	Indonesia	5,617	5,717	5,516	1,288	1,372	0,454	0,918	0,323	0,044	1,218
2024	84	Algeria	5,571	5,674	5,469	1,315	1,363	0,782	0,522	0,057	0,219	1,313
2024	85	Bulgaria	5,554	5,647	5,460	1,573	1,725	0,463	0,708	0,055	0,000	1,029
2024	86	North Macedonia	5,503	5,597	5,409	1,458	1,537	0,544	0,637	0,130	0,007	1,190
2024	87	Armenia	5,494	5,596	5,391	1,391	1,349	0,828	0,786	0,032	0,158	0,950
2024	88	Hong Kong SAR of China	5,491	5,566	5,417	1,790	1,410	0,948	0,674	0,116	0,386	0,168
2024	89	Albania	5,411	5,539	5,284	1,371	1,122	0,696	0,841	0,103	0,057	1,220
2024	90	Tajikistan	5,411	5,485	5,337	0,914	1,555	0,658		0,085	0,342	
2024	91	Georgia	5,400	5,496	5,304	1,444	1,275	0,482	0,844	0,000	0,172	1,182
2024	92	Nepal	5,311	5,437	5,184	0,944	1,210	0,463	0,764	0,155	0,099	1,676
2024	93	Lao PDR	5,301	5,422	5,179	1,122	1,010	0,493	0,916	0,145	0,164	1,452
2024	94	Türkiye	5,262	5,347	5,178	1,582	1,444	0,626	0,244	0,040	0,104	1,223
2024	95	South Africa	5,213	5,339	5,086	1,283	1,465	0,142	0,676	0,064	0,043	1,540
2024	96	Mozambique	5,190	5,376	5,004	0,559	1,131	0,124	0,813	0,127	0,173	2,262
2024	97	Gabon	5,120	5,256	4,985	1,386	1,224	0,387	0,651	0,042	0,086	1,343
2024	98	Côte d’Ivoire	5,102	5,238	4,967	1,038	0,760	0,206	0,661	0,100	0,162	2,176
2024	99	Iran	5,093	5,193	4,994	1,330	1,367	0,609	0,456	0,202	0,122	1,007
2024	100	Congo	5,030	5,205	4,855	1,023	0,796	0,336	0,626	0,082	0,126	2,040
2024	101	Iraq	4,976	5,085	4,866	1,261	1,275	0,589	0,503	0,100	0,069	1,178
2024	102	Guinea	4,929	5,070	4,787	0,873	0,791	0,306	0,676	0,157	0,098	2,027
2024	103	Namibia	4,911	5,025	4,797	1,182	1,482	0,104	0,564	0,052	0,056	1,470
2024	104	Cameroon	4,887	5,007	4,767	0,944	0,986	0,302	0,662	0,099	0,060	1,834
2024	105	Nigeria	4,885	5,022	4,748	0,989	1,245	0,380	0,639	0,170	0,028	1,433
2024	106	Azerbaijan	4,875	4,969	4,780	1,428	1,030	0,707	0,785	0,076	0,179	0,670
2024	107	Senegal	4,856	4,979	4,732	0,907	0,977	0,433	0,767	0,129	0,090	1,553
2024	108	State of Palestine	4,780	4,886	4,675	1,047	1,456		0,618	0,055	0,081	
2024	109	Pakistan	4,768	4,892	4,644	0,982	0,759	0,417	0,529	0,136	0,046	1,898
2024	110	Niger	4,725	4,863	4,588	0,606	0,796	0,258	0,759	0,122	0,137	2,048
2024	111	Ukraine	4,680	4,794	4,565	1,328	1,472	0,472	0,689	0,245	0,023	0,451
2024	112	Morocco	4,622	4,736	4,509	1,139	0,635	0,585	0,748	0,031	0,095	1,388
2024	113	Tunisia	4,552	4,633	4,470	1,257	1,224	0,459	0,382	0,032	0,050	1,149
2024	114	Mauritania	4,542	4,676	4,408	1,023	0,919	0,516	0,454	0,113	0,195	1,323
2024	115	Kenya	4,510	4,636	4,384	0,994	1,047	0,448	0,649	0,220	0,073	1,079
2024	116	Uganda	4,461	4,587	4,336	0,762	1,342	0,396	0,751	0,148	0,050	1,012
2024	117	Gambia	4,423	4,530	4,315	0,778	0,958	0,348	0,611	0,255	0,045	1,428
2024	118	India	4,389	4,457	4,320	1,149	0,860	0,316	0,914	0,141	0,120	0,889
2024	119	Chad	4,384	4,515	4,253	0,592	0,902	0,242	0,477	0,175	0,111	1,884
2024	120	Burkina Faso	4,383	4,506	4,260	0,724	0,828	0,296	0,671	0,142	0,218	1,504
2024	121	Benin	4,357	4,492	4,222	0,855	0,228	0,357	0,679	0,092	0,238	1,909
2024	122	Somalia	4,347	4,490	4,203	0,535	0,877	0,046	0,916	0,206	0,192	1,575
2024	123	Mali	4,345	4,457	4,232	0,709	0,908	0,318	0,767	0,093	0,114	1,436
2024	124	Cambodia	4,341	4,446	4,237	1,049	1,215	0,481	0,988	0,138	0,078	0,393
2024	125	Ghana	4,340	4,444	4,235	1,053	1,010	0,438	0,771	0,139	0,025	0,904
2024	126	Myanmar	4,321	4,471	4,172	0,975	1,144	0,446	0,569	0,322	0,163	0,702
2024	127	Togo	4,315	4,430	4,200	0,757	0,736	0,378	0,576	0,097	0,153	1,618
2024	128	Jordan	4,310	4,426	4,193	1,158	1,202	0,573	0,700	0,051	0,164	0,461
2024	129	Liberia	4,277	4,444	4,111	0,582	0,888	0,324	0,653	0,143	0,068	1,618
2024	130	Madagascar	4,157	4,265	4,050	0,588	0,938	0,341	0,292	0,131	0,118	1,751
2024	131	Zambia	3,912	4,056	3,769	0,848	1,013	0,233	0,872	0,131	0,107	0,709
2024	132	Ethiopia	3,898	4,011	3,786	0,757	1,051	0,416	0,540	0,182	0,100	0,852
2024	133	Sri Lanka	3,891	4,001	3,780	1,271	1,308	0,567	0,696	0,121	0,025	-0,099
2024	134	Bangladesh	3,851	3,949	3,753	1,116	0,286	0,592	0,920	0,110	0,132	0,695
2024	135	Egypt	3,817	3,909	3,725	1,347	1,075	0,473	0,593	0,018	0,103	0,210
2024	136	Tanzania	3,800	3,938	3,661	0,847	0,908	0,411	0,858	0,153	0,243	0,380
2024	137	Eswatini	3,774	3,893	3,654	1,183	1,152	0,038	0,428	0,054	0,130	0,790
2024	138	Lesotho	3,757	3,957	3,558	0,737	1,131	0,000	0,606	0,065	0,072	1,145
2024	139	Comoros	3,754	3,919	3,590	0,835	0,501	0,428	0,260	0,117	0,164	1,450
2024	140	Yemen	3,561	3,714	3,408	0,631	1,482	0,375	0,447	0,066	0,106	0,454
2024	141	DR Congo	3,469	3,608	3,331	0,544	0,929	0,278	0,600	0,151	0,061	0,906
2024	142	Botswana	3,438	3,576	3,301	1,388	1,146	0,094	0,697	0,018	0,083	0,012
2024	143	Zimbabwe	3,396	3,509	3,283	0,827	0,961	0,178	0,598	0,065	0,131	0,636
2024	144	Malawi	3,260	3,390	3,130	0,588	0,489	0,280	0,677	0,115	0,136	0,975
2024	145	Lebanon	3,188	3,277	3,098	1,223	0,984	0,440	0,279	0,071	0,041	0,150
2024	146	Sierra Leone	2,998	3,102	2,894	0,786	0,692	0,327	0,613	0,138	0,052	0,391
2024	147	Afghanistan	1,364	1,427	1,301	0,649	0,000	0,155	0,000	0,075	0,135	0,348
